workerid,predicate,sentence_type,slide_number,context,utterance,response
0,long,coll,8,random,big,0.69
0,long,dist,8,random,big,0.11
0,long,coll,9,random,heavy,0.08
0,long,dist,9,random,heavy,0.29
0,long,dist,10,random,long,0.07
0,long,coll,10,random,long,0.68
1,long,dist,8,regular,heavy,0.25
1,long,coll,8,regular,heavy,0.79
1,long,dist,9,regular,long,0.09
1,long,coll,9,regular,long,0.86
1,long,dist,10,regular,big,0.28
1,long,coll,10,regular,big,0.65
2,long,coll,8,random,heavy,1
2,long,dist,8,random,heavy,0.19
2,long,dist,9,random,long,1
2,long,coll,9,random,long,0
2,long,coll,10,random,big,0.29
2,long,dist,10,random,big,0.77
3,long,dist,8,regular,big,0.21
3,long,coll,8,regular,big,0.87
3,long,coll,9,regular,heavy,0.62
3,long,dist,9,regular,heavy,0.43
3,long,coll,10,regular,long,0.39
3,long,dist,10,regular,long,0.73
4,long,coll,8,random,big,0.2
4,long,dist,8,random,big,0.95
4,long,coll,9,random,long,0.08
4,long,dist,9,random,long,0.8
4,long,coll,10,random,heavy,0.92
4,long,dist,10,random,heavy,0.12
5,long,coll,8,random,long,0.1
5,long,dist,8,random,long,0.91
5,long,dist,9,random,big,0.91
5,long,coll,9,random,big,0.09
5,long,dist,10,random,heavy,0.91
5,long,coll,10,random,heavy,0.1
6,long,coll,8,random,long,0.04
6,long,dist,8,random,long,0.98
6,long,dist,9,random,big,0.97
6,long,coll,9,random,big,0.06
6,long,dist,10,random,heavy,0.97
6,long,coll,10,random,heavy,0.08
7,long,dist,8,regular,heavy,1
7,long,coll,8,regular,heavy,0.46
7,long,dist,9,regular,big,1
7,long,coll,9,regular,big,0.58
7,long,dist,10,regular,long,0.27
7,long,coll,10,regular,long,0.3
8,long,dist,8,regular,heavy,0.81
8,long,coll,8,regular,heavy,0.07
8,long,coll,9,regular,long,0.44
8,long,dist,9,regular,long,0.81
8,long,coll,10,regular,big,0.78
8,long,dist,10,regular,big,0.66
