workerid,trial,utterance,sceanrio,response,context,sentence_type
30,2,tall,inspect,0.27,regular,dist
30,2,tall,inspect,0.9,regular,coll
30,3,heavy,inspect,0.26,regular,coll
30,3,heavy,inspect,0.76,regular,dist
31,1,heavy,inspect,0.93,random,dist
31,1,heavy,inspect,0.07,random,coll
31,2,tall,inspect,0.06,random,coll
31,2,tall,inspect,0.93,random,dist
31,3,big,inspect,0.08,random,coll
31,3,big,inspect,0.91,random,dist
32,1,big,move,0.46,random,coll
32,1,big,move,0.21,random,dist
32,2,tall,move,0.68,random,dist
32,2,tall,move,0.51,random,coll
32,3,heavy,move,0.3,random,dist
32,3,heavy,move,0.8,random,coll
33,1,heavy,inspect,0.96,random,dist
33,1,heavy,inspect,0.96,random,coll
33,2,big,inspect,0.92,random,coll
33,2,big,inspect,0.93,random,dist
33,3,tall,inspect,0.94,random,dist
33,3,tall,inspect,0.94,random,coll
34,1,tall,move,0.83,random,coll
34,1,tall,move,0.47,random,dist
34,2,heavy,move,0.52,random,dist
34,2,heavy,move,0.52,random,coll
34,3,big,move,0.6,random,dist
34,3,big,move,0.71,random,coll
35,1,big,move,0.19,random,coll
35,1,big,move,0.8,random,dist
35,2,heavy,move,0.1,random,dist
35,2,heavy,move,0.88,random,coll
35,3,tall,move,0.76,random,dist
35,3,tall,move,0.22,random,coll
36,1,heavy,inspect,0.79,random,dist
36,1,heavy,inspect,0.25,random,coll
36,2,big,inspect,0.84,random,coll
36,2,big,inspect,0.18,random,dist
36,3,tall,inspect,0.1,random,dist
36,3,tall,inspect,0.79,random,coll
37,1,heavy,move,0.73,random,coll
37,1,heavy,move,0.25,random,dist
37,2,big,move,0.21,random,coll
37,2,big,move,0.9,random,dist
37,3,tall,move,0.71,random,dist
37,3,tall,move,0.19,random,coll
38,1,big,move,0.8,random,coll
38,1,big,move,0,random,dist
38,2,heavy,move,0.39,random,dist
38,2,heavy,move,0.92,random,coll
38,3,tall,move,0.22,random,dist
38,3,tall,move,0.12,random,coll
39,1,big,move,0.74,regular,dist
39,1,big,move,1,regular,coll
39,2,tall,move,1,regular,coll
39,2,tall,move,0.44,regular,dist
39,3,heavy,move,1,regular,coll
39,3,heavy,move,0.48,regular,dist
40,1,tall,move,0.27,random,dist
40,1,tall,move,0.78,random,coll
40,2,big,move,0.15,random,dist
40,2,big,move,0.77,random,coll
40,3,heavy,move,0.81,random,coll
40,3,heavy,move,0.22,random,dist
41,1,tall,move,1,regular,coll
41,1,tall,move,0,regular,dist
41,2,big,move,0,regular,dist
41,2,big,move,1,regular,coll
41,3,heavy,move,0,regular,dist
41,3,heavy,move,1,regular,coll
42,1,heavy,inspect,0.77,regular,coll
42,1,heavy,inspect,0.77,regular,dist
42,2,tall,inspect,0.37,regular,dist
42,2,tall,inspect,0.69,regular,coll
42,3,big,inspect,0.32,regular,coll
42,3,big,inspect,0.68,regular,dist
43,1,tall,inspect,0.87,random,dist
43,1,tall,inspect,0.32,random,coll
43,2,heavy,inspect,0.29,random,coll
43,2,heavy,inspect,0.61,random,dist
43,3,big,inspect,0.9,random,coll
43,3,big,inspect,0.12,random,dist
44,1,tall,move,0.21,regular,dist
44,1,tall,move,0.97,regular,coll
44,2,heavy,move,0.18,regular,dist
44,2,heavy,move,1,regular,coll
44,3,big,move,1,regular,coll
44,3,big,move,0.29,regular,dist
45,1,tall,inspect,0.02,random,dist
45,1,tall,inspect,0.56,random,coll
45,2,big,inspect,0.67,random,coll
45,2,big,inspect,0.07,random,dist
45,3,heavy,inspect,0.03,random,dist
45,3,heavy,inspect,0.11,random,coll
46,1,big,inspect,0.7,random,coll
46,1,big,inspect,0.47,random,dist
46,2,tall,inspect,0.62,random,dist
46,2,tall,inspect,0.75,random,coll
46,3,heavy,inspect,0.26,random,dist
46,3,heavy,inspect,0.39,random,coll
47,1,tall,move,0.97,regular,coll
47,1,tall,move,0,regular,dist
47,2,big,move,0,regular,coll
47,2,big,move,1,regular,dist
47,3,heavy,move,1,regular,dist
47,3,heavy,move,0,regular,coll
48,1,heavy,move,0.52,regular,coll
48,1,heavy,move,0.52,regular,dist
48,2,tall,move,0,regular,dist
48,2,tall,move,1,regular,coll
48,3,big,move,1,regular,coll
48,3,big,move,0.03,regular,dist
49,1,tall,inspect,0.51,regular,dist
49,1,tall,inspect,0.51,regular,coll
49,2,heavy,inspect,0.48,regular,coll
49,2,heavy,inspect,0.48,regular,dist
49,3,big,inspect,0.52,regular,coll
49,3,big,inspect,0.52,regular,dist
50,1,heavy,inspect,0.89,regular,coll
50,1,heavy,inspect,0.39,regular,dist
50,2,big,inspect,0.39,regular,coll
50,2,big,inspect,0.79,regular,dist
50,3,tall,inspect,0.01,regular,dist
50,3,tall,inspect,0.99,regular,coll
51,1,big,move,0.47,regular,dist
51,1,big,move,1,regular,coll
51,2,tall,move,0,regular,dist
51,2,tall,move,1,regular,coll
51,3,heavy,move,0.2,regular,dist
51,3,heavy,move,1,regular,coll
52,1,heavy,move,0.6,random,coll
52,1,heavy,move,0.24,random,dist
52,2,tall,move,0.42,random,dist
52,2,tall,move,0.59,random,coll
52,3,big,move,0.27,random,coll
52,3,big,move,0.77,random,dist
53,1,big,move,0.16,random,dist
53,1,big,move,0.97,random,coll
53,2,tall,move,0.4,random,coll
53,2,tall,move,0.95,random,dist
53,3,heavy,move,0.53,random,dist
53,3,heavy,move,0.95,random,coll
54,1,big,move,0.91,regular,dist
54,1,big,move,0.06,regular,coll
54,2,heavy,move,0.07,regular,coll
54,2,heavy,move,0.93,regular,dist
54,3,tall,move,0.08,regular,coll
54,3,tall,move,0.91,regular,dist
55,1,tall,inspect,0.98,regular,coll
55,1,tall,inspect,0.03,regular,dist
55,2,heavy,inspect,0.48,regular,dist
55,2,heavy,inspect,0.96,regular,coll
55,3,big,inspect,0.53,regular,dist
55,3,big,inspect,0.99,regular,coll
56,1,heavy,inspect,0.76,random,dist
56,1,heavy,inspect,0.21,random,coll
56,2,tall,inspect,0.84,random,dist
56,2,tall,inspect,0.19,random,coll
56,3,big,inspect,0.74,random,dist
56,3,big,inspect,0.16,random,coll
57,1,heavy,inspect,0.22,regular,coll
57,1,heavy,inspect,0.86,regular,dist
57,2,tall,inspect,0.2,regular,dist
57,2,tall,inspect,0.87,regular,coll
57,3,big,inspect,0.15,regular,coll
57,3,big,inspect,0.57,regular,dist
58,1,tall,inspect,0.62,regular,dist
58,1,tall,inspect,0.69,regular,coll
58,2,heavy,inspect,0.18,regular,coll
58,2,heavy,inspect,0.18,regular,dist
58,3,big,inspect,0.21,regular,dist
58,3,big,inspect,0.25,regular,coll
59,1,heavy,move,0.7,random,coll
59,1,heavy,move,0.58,random,dist
59,2,big,move,0.76,random,coll
59,2,big,move,0.14,random,dist
59,3,tall,move,0.61,random,coll
59,3,tall,move,0.32,random,dist
60,1,tall,move,0.76,regular,coll
60,1,tall,move,0.14,regular,dist
60,2,heavy,move,0.86,regular,coll
60,2,heavy,move,0.22,regular,dist
60,3,big,move,0.74,regular,coll
60,3,big,move,0.31,regular,dist
61,1,big,inspect,0.6,random,coll
61,1,big,inspect,0.41,random,dist
61,2,tall,inspect,0.46,random,dist
61,2,tall,inspect,0.67,random,coll
61,3,heavy,inspect,0.79,random,coll
61,3,heavy,inspect,0.53,random,dist
62,1,tall,move,0.86,regular,coll
62,1,tall,move,0.5,regular,dist
62,2,big,move,0.82,regular,dist
62,2,big,move,0.84,regular,coll
62,3,heavy,move,0.05,regular,coll
62,3,heavy,move,0.06,regular,dist
63,1,big,inspect,0.69,random,coll
63,1,big,inspect,0.07,random,dist
63,2,heavy,inspect,0.12,random,coll
63,2,heavy,inspect,0.89,random,dist
63,3,tall,inspect,0.1,random,coll
63,3,tall,inspect,0.33,random,dist
64,1,big,inspect,0.73,random,coll
64,1,big,inspect,0.53,random,dist
64,2,tall,inspect,0.58,random,coll
64,2,tall,inspect,0.42,random,dist
64,3,heavy,inspect,0.54,random,coll
64,3,heavy,inspect,0.53,random,dist
65,1,tall,move,0.21,regular,dist
65,1,tall,move,1,regular,coll
65,2,heavy,move,0.44,regular,coll
65,2,heavy,move,0.98,regular,dist
65,3,big,move,0.5,regular,coll
65,3,big,move,0.5,regular,dist
66,1,heavy,move,0.2,regular,dist
66,1,heavy,move,0.88,regular,coll
66,2,tall,move,0.12,regular,dist
66,2,tall,move,0.96,regular,coll
66,3,big,move,0.01,regular,dist
66,3,big,move,0.98,regular,coll
67,1,big,move,0.01,random,coll
67,1,big,move,0.98,random,dist
67,2,heavy,move,0.26,random,coll
67,2,heavy,move,0.84,random,dist
67,3,tall,move,0.13,random,coll
67,3,tall,move,0.92,random,dist
68,1,tall,inspect,0.27,random,coll
68,1,tall,inspect,0.84,random,dist
68,2,heavy,inspect,0.88,random,coll
68,2,heavy,inspect,0.05,random,dist
68,3,big,inspect,0.76,random,coll
68,3,big,inspect,0.68,random,dist
69,1,heavy,inspect,0.89,random,dist
69,1,heavy,inspect,0.75,random,coll
69,2,tall,inspect,0.93,random,dist
69,2,tall,inspect,0.83,random,coll
69,3,big,inspect,0.9,random,coll
69,3,big,inspect,0.88,random,dist
70,1,heavy,inspect,0.54,random,coll
70,1,heavy,inspect,0.81,random,dist
70,2,tall,inspect,0.26,random,dist
70,2,tall,inspect,0.81,random,coll
70,3,big,inspect,0.43,random,coll
70,3,big,inspect,0.61,random,dist
71,1,big,move,0.84,regular,dist
71,1,big,move,0.42,regular,coll
71,2,heavy,move,0.3,regular,coll
71,2,heavy,move,0.79,regular,dist
71,3,tall,move,0.21,regular,coll
71,3,tall,move,0.72,regular,dist
72,1,heavy,inspect,0.96,regular,coll
72,1,heavy,inspect,0.4,regular,dist
72,2,big,inspect,0.62,regular,coll
72,2,big,inspect,0.12,regular,dist
72,3,tall,inspect,0.12,regular,dist
72,3,tall,inspect,0.85,regular,coll
73,1,heavy,inspect,0.06,random,coll
73,1,heavy,inspect,0.91,random,dist
73,2,big,inspect,0.06,random,dist
73,2,big,inspect,0.91,random,coll
73,3,tall,inspect,0.85,random,coll
73,3,tall,inspect,0.05,random,dist
74,1,tall,move,0.18,random,dist
74,1,tall,move,0.77,random,coll
74,2,heavy,move,1,random,coll
74,2,heavy,move,0.14,random,dist
74,3,big,move,0.69,random,dist
74,3,big,move,0.14,random,coll
75,1,big,inspect,0.25,random,dist
75,1,big,inspect,0.47,random,coll
75,2,heavy,inspect,0.38,random,dist
75,2,heavy,inspect,0.45,random,coll
75,3,tall,inspect,0.67,random,dist
75,3,tall,inspect,0.66,random,coll
76,1,tall,move,0.22,regular,dist
76,1,tall,move,0.72,regular,coll
76,2,big,move,0.34,regular,coll
76,2,big,move,0.52,regular,dist
76,3,heavy,move,0.88,regular,coll
76,3,heavy,move,0.09,regular,dist
77,1,tall,move,0.4,random,coll
77,1,tall,move,0.67,random,dist
77,2,big,move,0.27,random,coll
77,2,big,move,0.73,random,dist
77,3,heavy,move,0.71,random,dist
77,3,heavy,move,0.28,random,coll
78,1,big,move,0.67,regular,dist
78,1,big,move,0.92,regular,coll
78,2,heavy,move,0.94,regular,coll
78,2,heavy,move,0.58,regular,dist
78,3,tall,move,0.69,regular,dist
78,3,tall,move,0.86,regular,coll
79,1,heavy,inspect,0.31,random,coll
79,1,heavy,inspect,0.78,random,dist
79,2,big,inspect,0.72,random,dist
79,2,big,inspect,0.14,random,coll
79,3,tall,inspect,0.83,random,dist
79,3,tall,inspect,0.17,random,coll
