workerid,trial,utterance,sceanrio,response,context,sentence_type
0,1,tall,move,0.52,regular,dist
0,1,tall,move,0.77,regular,coll
0,2,heavy,move,0.41,regular,dist
0,2,heavy,move,0.91,regular,coll
0,3,big,move,0.33,regular,dist
0,3,big,move,0.81,regular,coll
1,1,tall,inspect,0.76,regular,dist
1,1,tall,inspect,0.4,regular,coll
1,2,heavy,inspect,0.92,regular,coll
1,2,heavy,inspect,0.37,regular,dist
1,3,big,inspect,0.46,regular,dist
1,3,big,inspect,1,regular,coll
2,1,big,move,0.97,random,coll
2,1,big,move,0.31,random,dist
2,2,heavy,move,0.98,random,coll
2,2,heavy,move,0,random,dist
2,3,tall,move,0.99,random,coll
2,3,tall,move,0.01,random,dist
3,1,tall,move,0.77,regular,coll
3,1,tall,move,0.2,regular,dist
3,2,heavy,move,0.57,regular,dist
3,2,heavy,move,0.58,regular,coll
3,3,big,move,0.52,regular,dist
3,3,big,move,0.51,regular,coll
4,1,big,inspect,0.17,regular,dist
4,1,big,inspect,0.93,regular,coll
4,2,tall,inspect,0.05,regular,dist
4,2,tall,inspect,1,regular,coll
4,3,heavy,inspect,0.36,regular,dist
4,3,heavy,inspect,0.82,regular,coll
5,1,big,move,0.83,regular,coll
5,1,big,move,0.21,regular,dist
5,2,heavy,move,0.27,regular,dist
5,2,heavy,move,0.76,regular,coll
5,3,tall,move,0.72,regular,coll
5,3,tall,move,0.39,regular,dist
6,1,tall,move,0.92,random,coll
6,1,tall,move,0.56,random,dist
6,2,heavy,move,0.42,random,dist
6,2,heavy,move,0.97,random,coll
6,3,big,move,0.42,random,coll
6,3,big,move,0.95,random,dist
7,1,tall,inspect,0.04,random,coll
7,1,tall,inspect,0.62,random,dist
7,2,heavy,inspect,0.1,random,dist
7,2,heavy,inspect,0.78,random,coll
7,3,big,inspect,0.11,random,coll
7,3,big,inspect,0.81,random,dist
8,1,big,move,0.79,regular,coll
8,1,big,move,0.17,regular,dist
8,2,tall,move,0,regular,dist
8,2,tall,move,1,regular,coll
8,3,heavy,move,0.98,regular,coll
8,3,heavy,move,0,regular,dist
9,1,heavy,inspect,0.21,regular,coll
9,1,heavy,inspect,0.7,regular,dist
9,2,tall,inspect,0,regular,coll
9,2,tall,inspect,0.98,regular,dist
9,3,big,inspect,0.47,regular,coll
9,3,big,inspect,0.47,regular,dist
10,1,tall,move,0.5,random,dist
10,1,tall,move,0.48,random,coll
10,2,heavy,move,0.85,random,dist
10,2,heavy,move,0.83,random,coll
10,3,big,move,0.72,random,dist
10,3,big,move,0.19,random,coll
11,1,big,move,1,regular,coll
11,1,big,move,0,regular,dist
11,2,heavy,move,1,regular,coll
11,2,heavy,move,0,regular,dist
11,3,tall,move,1,regular,coll
11,3,tall,move,0,regular,dist
12,1,big,inspect,0.83,regular,dist
12,1,big,inspect,0.15,regular,coll
12,2,heavy,inspect,0.91,regular,dist
12,2,heavy,inspect,0.05,regular,coll
12,3,tall,inspect,0.87,regular,coll
12,3,tall,inspect,0.06,regular,dist
13,1,big,inspect,0.08,random,coll
13,1,big,inspect,1,random,dist
13,2,heavy,inspect,0.04,random,coll
13,2,heavy,inspect,1,random,dist
13,3,tall,inspect,0.02,random,dist
13,3,tall,inspect,1,random,coll
14,1,big,inspect,1,regular,coll
14,1,big,inspect,0,regular,dist
14,2,tall,inspect,0.01,regular,dist
14,2,tall,inspect,0.98,regular,coll
14,3,heavy,inspect,0.47,regular,dist
14,3,heavy,inspect,0.99,regular,coll
15,1,tall,move,0.16,random,dist
15,1,tall,move,0.17,random,coll
15,2,heavy,move,0.31,random,dist
15,2,heavy,move,0.43,random,coll
15,3,big,move,0.19,random,dist
15,3,big,move,0.25,random,coll
16,1,heavy,move,0,random,dist
16,1,heavy,move,0.19,random,coll
16,2,big,move,0.23,random,dist
16,2,big,move,0.15,random,coll
16,3,tall,move,0.49,random,dist
16,3,tall,move,0.58,random,coll
17,1,tall,move,0.54,regular,dist
17,1,tall,move,0.97,regular,coll
17,2,big,move,0.98,regular,coll
17,2,big,move,0.48,regular,dist
17,3,heavy,move,0.26,regular,dist
17,3,heavy,move,0.99,regular,coll
18,1,big,inspect,0.18,random,coll
18,1,big,inspect,0.78,random,dist
18,2,tall,inspect,0.1,random,coll
18,2,tall,inspect,0.78,random,dist
18,3,heavy,inspect,0.73,random,coll
18,3,heavy,inspect,0.21,random,dist
19,1,heavy,inspect,0.79,random,dist
19,1,heavy,inspect,0.13,random,coll
19,2,tall,inspect,0.73,random,dist
19,2,tall,inspect,0.23,random,coll
19,3,big,inspect,0.66,random,coll
19,3,big,inspect,0.31,random,dist
20,1,heavy,inspect,0.37,random,dist
20,1,heavy,inspect,0.55,random,coll
20,2,tall,inspect,0.31,random,dist
20,2,tall,inspect,0.64,random,coll
20,3,big,inspect,0.64,random,coll
20,3,big,inspect,0.39,random,dist
21,1,tall,move,0.14,regular,dist
21,1,tall,move,0.89,regular,coll
21,2,heavy,move,0.12,regular,dist
21,2,heavy,move,0.89,regular,coll
21,3,big,move,0.89,regular,coll
21,3,big,move,0.05,regular,dist
22,1,heavy,move,0.77,random,dist
22,1,heavy,move,0.38,random,coll
22,2,tall,move,0.54,random,dist
22,2,tall,move,0.77,random,coll
22,3,big,move,0.93,random,dist
22,3,big,move,0.15,random,coll
23,1,big,move,0.14,random,dist
23,1,big,move,0.44,random,coll
23,2,heavy,move,0.21,random,coll
23,2,heavy,move,0.18,random,dist
23,3,tall,move,0.3,random,coll
23,3,tall,move,0.12,random,dist
24,1,heavy,move,0.96,regular,coll
24,1,heavy,move,0.17,regular,dist
24,2,tall,move,0.3,regular,dist
24,2,tall,move,1,regular,coll
24,3,big,move,0.52,regular,coll
24,3,big,move,0.85,regular,dist
25,1,tall,inspect,0.85,random,dist
25,1,tall,inspect,0.14,random,coll
25,2,big,inspect,0.15,random,coll
25,2,big,inspect,0.84,random,dist
25,3,heavy,inspect,0.86,random,dist
25,3,heavy,inspect,0.14,random,coll
26,1,heavy,inspect,0.66,random,coll
26,1,heavy,inspect,0.32,random,dist
26,2,tall,inspect,0.61,random,coll
26,2,tall,inspect,0.29,random,dist
26,3,big,inspect,0.4,random,dist
26,3,big,inspect,0.72,random,coll
27,1,big,inspect,0.77,regular,coll
27,1,big,inspect,0.27,regular,dist
27,2,heavy,inspect,0.49,regular,coll
27,2,heavy,inspect,0.5,regular,dist
27,3,tall,inspect,0.04,regular,dist
27,3,tall,inspect,0.95,regular,coll
28,1,big,move,0.65,regular,coll
28,1,big,move,0.43,regular,dist
28,2,tall,move,0.16,regular,dist
28,2,tall,move,1,regular,coll
28,3,heavy,move,0.51,regular,dist
28,3,heavy,move,0.65,regular,coll
29,1,big,move,0.26,regular,dist
29,1,big,move,0.4,regular,coll
29,2,tall,move,0.71,regular,dist
29,2,tall,move,0.9,regular,coll
29,3,heavy,move,0.39,regular,dist
29,3,heavy,move,0.76,regular,coll
30,1,big,inspect,0.16,regular,dist
30,1,big,inspect,0.87,regular,coll
