workerid,predicate,utterance,response,context,sentence_type
3,tall,slight,0.38,random,dist
3,tall,heavy,0.41,random,dist
3,tall,heavy,0.56,random,coll
3,tall,high,0.36,random,coll
3,tall,high,0.28,random,dist
3,tall,thin,0.25,random,coll
3,tall,thin,0.33,random,dist
3,tall,flat,0.21,random,coll
3,tall,flat,0.37,random,dist
3,tall,fat,0.33,random,coll
3,tall,fat,0.27,random,dist
3,tall,tiny,0.15,random,coll
3,tall,tiny,0.37,random,dist
3,tall,thick,0.52,random,coll
3,tall,thick,0.29,random,dist
3,tall,low,0.3,random,dist
3,tall,low,0.22,random,coll
3,tall,humongous,0.53,random,coll
3,tall,humongous,0.36,random,dist
3,tall,large,0.39,random,dist
3,tall,large,0.39,random,coll
3,tall,short,0.39,random,dist
3,tall,short,0.27,random,coll
3,tall,wide,0.43,random,dist
3,tall,wide,0.39,random,coll
3,tall,full,0.31,random,dist
3,tall,full,0.5,random,coll
3,tall,lengthy,0.57,random,dist
3,tall,lengthy,0.72,random,coll
3,tall,mini,0.42,random,coll
3,tall,mini,0.5,random,dist
3,tall,narrow,0.36,random,dist
3,tall,narrow,0.46,random,coll
3,tall,little,0.51,random,coll
3,tall,little,0.36,random,dist
3,tall,big,0.55,random,dist
3,tall,big,0.41,random,coll
3,tall,skinny,0.28,random,dist
3,tall,skinny,0.54,random,coll
4,tall,humongous,0.01,regular,coll
4,tall,humongous,0.02,regular,dist
4,tall,short,0.25,regular,dist
4,tall,short,0.15,regular,coll
4,tall,little,0.02,regular,coll
4,tall,little,0.02,regular,dist
4,tall,tiny,0.01,regular,coll
4,tall,tiny,0.21,regular,dist
4,tall,fat,0.42,regular,dist
4,tall,fat,0.7,regular,coll
4,tall,thin,0.01,regular,dist
4,tall,thin,0.49,regular,coll
4,tall,huge,0.92,regular,dist
4,tall,huge,0.92,regular,coll
4,tall,wide,0.25,regular,dist
4,tall,wide,0.5,regular,coll
4,tall,mini,0.47,regular,dist
4,tall,mini,0.33,regular,coll
4,tall,slight,0.5,regular,coll
4,tall,slight,0.5,regular,dist
4,tall,small,0.18,regular,dist
4,tall,small,0.03,regular,coll
4,tall,narrow,0.47,regular,coll
4,tall,narrow,0.75,regular,dist
4,tall,full,0.81,regular,dist
4,tall,full,1,regular,coll
4,tall,lengthy,0.68,regular,dist
4,tall,lengthy,0.99,regular,coll
4,tall,high,0.17,regular,dist
4,tall,high,0.98,regular,coll
4,tall,large,0.39,regular,dist
4,tall,large,0.98,regular,coll
4,tall,low,0.03,regular,dist
4,tall,low,0.01,regular,coll
4,tall,long,0.2,regular,coll
4,tall,long,0.98,regular,dist
4,tall,flat,0.15,regular,coll
4,tall,flat,0.49,regular,dist
4,tall,heavy,0.5,regular,dist
4,tall,heavy,0.98,regular,coll
4,tall,deep,0.15,regular,coll
4,tall,deep,0.15,regular,dist
4,tall,tall,0.27,regular,dist
4,tall,tall,0.71,regular,coll
4,tall,big,0.19,regular,dist
4,tall,big,0.72,regular,coll
4,tall,skinny,0.1,regular,coll
4,tall,skinny,0.3,regular,dist
4,tall,thick,0.45,regular,dist
4,tall,thick,0.78,regular,coll
5,tall,thick,1,random,dist
5,tall,thick,0,random,coll
5,tall,deep,1,random,coll
5,tall,deep,0,random,dist
5,tall,low,1,random,coll
5,tall,low,0,random,dist
5,tall,tall,0,random,coll
5,tall,tall,1,random,dist
5,tall,small,0,random,coll
5,tall,small,1,random,dist
5,tall,long,0,random,coll
5,tall,long,1,random,dist
5,tall,slight,0,random,coll
5,tall,slight,1,random,dist
5,tall,huge,0,random,coll
5,tall,huge,1,random,dist
5,tall,humongous,1,random,dist
5,tall,humongous,0,random,coll
5,tall,mini,1,random,dist
5,tall,mini,0,random,coll
5,tall,large,0,random,coll
5,tall,large,1,random,dist
5,tall,heavy,0,random,dist
5,tall,heavy,1,random,coll
5,tall,wide,0.28,random,coll
5,tall,wide,0.84,random,dist
5,tall,lengthy,0,random,dist
5,tall,lengthy,1,random,coll
5,tall,little,1,random,dist
5,tall,little,0,random,coll
5,tall,big,0,random,coll
5,tall,big,1,random,dist
5,tall,fat,0,random,coll
5,tall,fat,1,random,dist
5,tall,tiny,0.61,random,coll
5,tall,tiny,0.97,random,dist
5,tall,thin,0.68,random,dist
5,tall,thin,0.37,random,coll
5,tall,high,1,random,coll
5,tall,high,0,random,dist
5,tall,narrow,1,random,dist
5,tall,narrow,0,random,coll
5,tall,skinny,1,random,dist
5,tall,skinny,0,random,coll
5,tall,flat,1,random,dist
5,tall,flat,0,random,coll
5,tall,short,0.81,random,dist
5,tall,short,0.05,random,coll
5,tall,full,0.96,random,coll
5,tall,full,0,random,dist
6,tall,mini,0.85,random,dist
6,tall,mini,0.71,random,coll
6,tall,full,1,random,dist
6,tall,full,0,random,coll
6,tall,thin,0.1,random,coll
6,tall,thin,1,random,dist
6,tall,short,0.41,random,coll
6,tall,short,0.8,random,dist
6,tall,humongous,0.08,random,dist
6,tall,humongous,0.84,random,coll
6,tall,deep,0.71,random,dist
6,tall,deep,0.36,random,coll
6,tall,big,0.16,random,coll
6,tall,big,0.82,random,dist
6,tall,long,0.17,random,coll
6,tall,long,0.84,random,dist
6,tall,narrow,0.2,random,coll
6,tall,narrow,0.87,random,dist
6,tall,huge,0.83,random,dist
6,tall,huge,0.16,random,coll
6,tall,fat,0.18,random,coll
6,tall,fat,0.82,random,dist
6,tall,lengthy,0.75,random,dist
6,tall,lengthy,0.15,random,coll
6,tall,little,0.84,random,dist
6,tall,little,0.13,random,coll
6,tall,flat,0.06,random,coll
6,tall,flat,0.91,random,dist
6,tall,small,0.86,random,dist
6,tall,small,0.13,random,coll
6,tall,low,0.23,random,dist
6,tall,low,0.85,random,coll
6,tall,heavy,0.53,random,dist
6,tall,heavy,0.78,random,coll
6,tall,tiny,0.88,random,dist
6,tall,tiny,0.13,random,coll
6,tall,slight,0.93,random,coll
6,tall,slight,0.06,random,dist
6,tall,skinny,0.09,random,coll
6,tall,skinny,0.94,random,dist
6,tall,tall,0.87,random,dist
6,tall,tall,0.1,random,coll
6,tall,wide,0.86,random,dist
6,tall,wide,0.12,random,coll
6,tall,thick,0.84,random,dist
6,tall,thick,0.08,random,coll
6,tall,large,0.85,random,dist
6,tall,large,0.06,random,coll
6,tall,high,0.86,random,coll
6,tall,high,0.07,random,dist
7,tall,big,0.4,regular,coll
7,tall,big,0.95,regular,dist
7,tall,fat,0.88,regular,dist
7,tall,fat,0.08,regular,coll
7,tall,small,0.63,regular,coll
7,tall,small,0.91,regular,dist
7,tall,slight,0.61,regular,dist
7,tall,slight,0.73,regular,coll
7,tall,lengthy,0.75,regular,dist
7,tall,lengthy,0.11,regular,coll
7,tall,tiny,0.31,regular,coll
7,tall,tiny,0.77,regular,dist
7,tall,heavy,0.86,regular,dist
7,tall,heavy,0.92,regular,coll
7,tall,short,0.09,regular,coll
7,tall,short,0.92,regular,dist
7,tall,mini,0.09,regular,dist
7,tall,mini,0.81,regular,coll
7,tall,deep,0.09,regular,coll
7,tall,deep,0.91,regular,dist
7,tall,flat,0.91,regular,dist
7,tall,flat,0.09,regular,coll
7,tall,thin,0.12,regular,coll
7,tall,thin,0.93,regular,dist
7,tall,large,0.92,regular,dist
7,tall,large,0.75,regular,coll
7,tall,wide,0.88,regular,dist
7,tall,wide,0.57,regular,coll
7,tall,little,0.63,regular,coll
7,tall,little,0.91,regular,dist
7,tall,high,0.84,regular,dist
7,tall,high,0.11,regular,coll
7,tall,skinny,0.05,regular,coll
7,tall,skinny,0.93,regular,dist
7,tall,tall,0.52,regular,coll
7,tall,tall,0.81,regular,dist
7,tall,full,0.35,regular,dist
7,tall,full,0.72,regular,coll
7,tall,thick,0.67,regular,dist
7,tall,thick,0.26,regular,coll
7,tall,huge,0.49,regular,coll
7,tall,huge,0.69,regular,dist
7,tall,narrow,0.84,regular,dist
7,tall,narrow,0.2,regular,coll
7,tall,low,0.65,regular,dist
7,tall,low,0.14,regular,coll
7,tall,humongous,0.96,regular,dist
7,tall,humongous,0.14,regular,coll
7,tall,long,0.06,regular,coll
7,tall,long,0.89,regular,dist
8,tall,huge,0.18,random,coll
8,tall,huge,0.16,random,dist
8,tall,flat,0.47,random,coll
8,tall,flat,0.46,random,dist
8,tall,fat,0.18,random,dist
8,tall,fat,0.13,random,coll
8,tall,mini,0.79,random,dist
8,tall,mini,0.71,random,coll
8,tall,skinny,0.89,random,coll
8,tall,skinny,0.92,random,dist
8,tall,slight,0.86,random,coll
8,tall,slight,0.8,random,dist
8,tall,thin,0.96,random,coll
8,tall,thin,0.96,random,dist
8,tall,long,0.85,random,dist
8,tall,long,0.9,random,coll
8,tall,tiny,0.5,random,dist
8,tall,tiny,0.64,random,coll
8,tall,small,0.76,random,dist
8,tall,small,0.71,random,coll
8,tall,little,0.72,random,dist
8,tall,little,0.54,random,coll
8,tall,high,0.65,random,dist
8,tall,high,0.86,random,coll
8,tall,short,0.43,random,coll
8,tall,short,0.74,random,dist
8,tall,low,0.47,random,coll
8,tall,low,0.79,random,dist
8,tall,humongous,0.25,random,coll
8,tall,humongous,0.12,random,dist
8,tall,deep,0.22,random,coll
8,tall,deep,0.18,random,dist
8,tall,big,0.25,random,dist
8,tall,big,0.16,random,coll
8,tall,large,0.19,random,coll
8,tall,large,0.06,random,dist
8,tall,full,0.2,random,dist
8,tall,full,0.11,random,coll
8,tall,lengthy,0.85,random,coll
8,tall,lengthy,0.67,random,dist
8,tall,wide,0.15,random,coll
8,tall,wide,0.12,random,dist
8,tall,heavy,0.09,random,coll
8,tall,heavy,0.09,random,dist
8,tall,narrow,0.91,random,dist
8,tall,narrow,0.8,random,coll
8,tall,tall,0.78,random,dist
8,tall,tall,0.89,random,coll
8,tall,thick,0.11,random,dist
8,tall,thick,0.07,random,coll
