QUD,noise,pcollective
sum,high,0.417061346
sum,mid,0.372573368
sum,low,0.353234874
min,high,0.465713844
min,mid,0.456285338
min,low,0.358831291
max,high,0.220475893
max,mid,0.217448614
max,low,0.232756805
null,high,0.277805322
null,mid,0.30645783
null,low,0.335729834
