"","trial","workerid","disambiguator","utterance","scenario","choice","language"
"75",3,8,"","big","inspect","dist_list","English"
"76",4,8,"","tall","inspect","dist_list","English"
"77",5,8,"each ","heavy","inspect","dist_list","English"
"78",6,8,"","heavy","inspect","dist_list","English"
"79",7,8,"each ","tall","inspect","dist_list","English"
"80",8,8,"together ","big","inspect","coll_list","English"
"81",9,8,"together ","heavy","inspect","coll_list","English"
"82",1,9,"","heavy","inspect","dist_list","English"
"83",2,9,"","big","inspect","dist_list","English"
"84",3,9,"each ","big","inspect","dist_list","English"
"85",4,9,"","tall","inspect","dist_list","English"
"86",5,9,"together ","big","inspect","dist_list","English"
"87",6,9,"together ","heavy","inspect","dist_list","English"
"88",7,9,"each ","tall","inspect","dist_list","English"
"89",8,9,"together ","tall","inspect","coll_list","English"
"90",9,9,"each ","heavy","inspect","dist_list","English"
"91",1,10,"","big","move","dist_list","English"
"92",2,10,"","tall","move","dist_list","English"
"93",3,10,"together ","tall","move","coll_list","English"
"94",4,10,"together ","big","move","coll_list","English"
"95",5,10,"each ","big","move","dist_list","English"
"96",6,10,"together ","heavy","move","coll_list","English"
"97",7,10,"each ","tall","move","dist_list","English"
"98",8,10,"each ","heavy","move","dist_list","English"
"99",9,10,"","heavy","move","dist_list","English"
"100",1,11,"together ","big","move","coll_list","English"
"101",2,11,"each ","tall","move","dist_list","English"
"102",3,11,"together ","tall","move","coll_list","English"
"103",4,11,"each ","heavy","move","dist_list","English"
"104",5,11,"","big","move","dist_list","English"
"105",6,11,"","heavy","move","dist_list","English"
"106",7,11,"together ","heavy","move","coll_list","English"
"107",8,11,"each ","big","move","dist_list","English"
"108",9,11,"","tall","move","dist_list","English"
"109",1,12,"together ","tall","inspect","coll_list","English "
"110",2,12,"each ","tall","inspect","coll_list","English "
"111",3,12,"together ","heavy","inspect","dist_list","English "
"112",4,12,"","tall","inspect","dist_list","English "
"113",5,12,"together ","big","inspect","dist_list","English "
"114",6,12,"each ","heavy","inspect","coll_list","English "
"115",7,12,"","big","inspect","dist_list","English "
"116",8,12,"","heavy","inspect","coll_list","English "
"117",9,12,"each ","big","inspect","dist_list","English "
"118",1,13,"together ","tall","move","dist_list","English"
"119",2,13,"","big","move","dist_list","English"
"120",3,13,"together ","big","move","coll_list","English"
"121",4,13,"each ","heavy","move","dist_list","English"
"122",5,13,"each ","big","move","dist_list","English"
"123",6,13,"","tall","move","dist_list","English"
"124",7,13,"together ","heavy","move","coll_list","English"
"125",8,13,"each ","tall","move","dist_list","English"
"126",9,13,"","heavy","move","dist_list","English"
"127",1,14,"each ","tall","inspect","dist_list","English"
"128",2,14,"","big","inspect","dist_list","English"
"129",3,14,"","heavy","inspect","dist_list","English"
"130",4,14,"together ","heavy","inspect","coll_list","English"
"131",5,14,"each ","heavy","inspect","dist_list","English"
"132",6,14,"together ","big","inspect","coll_list","English"
"133",7,14,"","tall","inspect","dist_list","English"
"134",8,14,"each ","big","inspect","dist_list","English"
"135",9,14,"together ","tall","inspect","coll_list","English"
"136",1,15,"","heavy","move","dist_list","english"
"137",2,15,"","tall","move","dist_list","english"
"138",3,15,"together ","heavy","move","coll_list","english"
"139",4,15,"each ","heavy","move","dist_list","english"
"140",5,15,"together ","big","move","coll_list","english"
"141",6,15,"together ","tall","move","coll_list","english"
"142",7,15,"each ","big","move","dist_list","english"
"143",8,15,"each ","tall","move","dist_list","english"
"144",9,15,"","big","move","coll_list","english"
"145",1,16,"each ","tall","inspect","dist_list","English"
"146",2,16,"each ","big","inspect","dist_list","English"
"147",3,16,"","heavy","inspect","dist_list","English"
"148",4,16,"","tall","inspect","dist_list","English"
"149",5,16,"together ","heavy","inspect","dist_list","English"
"150",6,16,"","big","inspect","dist_list","English"
"151",7,16,"together ","big","inspect","coll_list","English"
"152",8,16,"together ","tall","inspect","coll_list","English"
"153",9,16,"each ","heavy","inspect","dist_list","English"
"154",1,17,"","tall","inspect","dist_list","English"
"155",2,17,"","big","inspect","dist_list","English"
"156",3,17,"each ","tall","inspect","dist_list","English"
"157",4,17,"each ","big","inspect","dist_list","English"
"158",5,17,"together ","heavy","inspect","coll_list","English"
"159",6,17,"each ","heavy","inspect","dist_list","English"
"160",7,17,"together ","tall","inspect","coll_list","English"
"161",8,17,"","heavy","inspect","dist_list","English"
"162",9,17,"together ","big","inspect","coll_list","English"
"163",1,18,"","tall","inspect","coll_list","English"
"164",2,18,"together ","heavy","inspect","dist_list","English"
"165",3,18,"","heavy","inspect","dist_list","English"
"166",4,18,"","big","inspect","dist_list","English"
"167",5,18,"each ","tall","inspect","dist_list","English"
"168",6,18,"together ","tall","inspect","coll_list","English"
"169",7,18,"together ","big","inspect","coll_list","English"
"170",8,18,"each ","big","inspect","coll_list","English"
"171",9,18,"each ","heavy","inspect","dist_list","English"
"172",1,19,"together ","tall","inspect","coll_list","english"
"173",2,19,"each ","heavy","inspect","dist_list","english"
"174",3,19,"each ","big","inspect","dist_list","english"
"175",4,19,"together ","big","inspect","coll_list","english"
"176",5,19,"","big","inspect","dist_list","english"
"177",6,19,"each ","tall","inspect","dist_list","english"
"178",7,19,"","tall","inspect","coll_list","english"
"179",8,19,"","heavy","inspect","dist_list","english"
"180",9,19,"together ","heavy","inspect","coll_list","english"
"181",1,20,"each ","heavy","move","dist_list","English"
"182",2,20,"together ","big","move","coll_list","English"
"183",3,20,"together ","tall","move","coll_list","English"
"184",4,20,"","heavy","move","dist_list","English"
"185",5,20,"","tall","move","dist_list","English"
"186",6,20,"each ","tall","move","coll_list","English"
"187",7,20,"each ","big","move","dist_list","English"
"188",8,20,"","big","move","dist_list","English"
"189",9,20,"together ","heavy","move","coll_list","English"
"190",1,21,"each ","big","move","dist_list","English"
"191",2,21,"together ","big","move","coll_list","English"
"192",3,21,"","big","move","dist_list","English"
"193",4,21,"together ","heavy","move","coll_list","English"
"194",5,21,"","heavy","move","dist_list","English"
"195",6,21,"together ","tall","move","coll_list","English"
"196",7,21,"each ","heavy","move","dist_list","English"
"197",8,21,"","tall","move","dist_list","English"
"198",9,21,"each ","tall","move","dist_list","English"
"199",1,22,"","big","inspect","dist_list","English"
"200",2,22,"each ","heavy","inspect","dist_list","English"
"201",3,22,"together ","big","inspect","coll_list","English"
"202",4,22,"","tall","inspect","dist_list","English"
"203",5,22,"","heavy","inspect","dist_list","English"
"204",6,22,"each ","tall","inspect","dist_list","English"
"205",7,22,"each ","big","inspect","dist_list","English"
"206",8,22,"together ","tall","inspect","coll_list","English"
"207",9,22,"together ","heavy","inspect","coll_list","English"
"208",1,23,"","heavy","move","coll_list","English"
"209",2,23,"together ","big","move","coll_list","English"
"210",3,23,"","tall","move","coll_list","English"
"211",4,23,"each ","heavy","move","coll_list","English"
"212",5,23,"","big","move","dist_list","English"
"213",6,23,"together ","heavy","move","coll_list","English"
"214",7,23,"together ","tall","move","dist_list","English"
"215",8,23,"each ","big","move","dist_list","English"
"216",9,23,"each ","tall","move","dist_list","English"
"217",1,24,"each ","tall","inspect","dist_list","english"
"218",2,24,"","big","inspect","dist_list","english"
"219",3,24,"each ","big","inspect","dist_list","english"
"220",4,24,"together ","tall","inspect","coll_list","english"
"221",5,24,"together ","heavy","inspect","coll_list","english"
"222",6,24,"each ","heavy","inspect","dist_list","english"
"223",7,24,"","heavy","inspect","dist_list","english"
"224",8,24,"together ","big","inspect","coll_list","english"
"225",9,24,"","tall","inspect","dist_list","english"
"226",1,25,"","heavy","inspect","dist_list","English"
"227",2,25,"together ","big","inspect","coll_list","English"
"228",3,25,"together ","heavy","inspect","coll_list","English"
"229",4,25,"together ","tall","inspect","coll_list","English"
"230",5,25,"each ","heavy","inspect","dist_list","English"
"231",6,25,"each ","big","inspect","dist_list","English"
"232",7,25,"each ","tall","inspect","dist_list","English"
"233",8,25,"","big","inspect","dist_list","English"
"234",9,25,"","tall","inspect","dist_list","English"
"235",1,26,"each ","big","inspect","dist_list","English"
"236",2,26,"each ","tall","inspect","dist_list","English"
"237",3,26,"","tall","inspect","dist_list","English"
"238",4,26,"","heavy","inspect","dist_list","English"
"239",5,26,"together ","heavy","inspect","coll_list","English"
"240",6,26,"together ","tall","inspect","coll_list","English"
"241",7,26,"each ","heavy","inspect","dist_list","English"
"242",8,26,"together ","big","inspect","coll_list","English"
"243",9,26,"","big","inspect","dist_list","English"
"244",1,27,"together ","tall","inspect","coll_list","English"
"245",2,27,"each ","tall","inspect","dist_list","English"
"246",3,27,"","heavy","inspect","coll_list","English"
"247",4,27,"each ","heavy","inspect","dist_list","English"
"248",5,27,"","big","inspect","dist_list","English"
"249",6,27,"","tall","inspect","coll_list","English"
"250",7,27,"together ","big","inspect","coll_list","English"
"251",8,27,"each ","big","inspect","dist_list","English"
"252",9,27,"together ","heavy","inspect","coll_list","English"
"253",1,28,"each ","big","inspect","dist_list","English"
"254",2,28,"together ","big","inspect","coll_list","English"
"255",3,28,"each ","heavy","inspect","dist_list","English"
"256",4,28,"","big","inspect","dist_list","English"
"257",5,28,"each ","tall","inspect","dist_list","English"
"258",6,28,"","tall","inspect","dist_list","English"
"259",7,28,"","heavy","inspect","dist_list","English"
"260",8,28,"together ","heavy","inspect","coll_list","English"
"261",9,28,"together ","tall","inspect","coll_list","English"
"262",1,29,"together ","tall","move","coll_list","English"
"263",2,29,"","heavy","move","dist_list","English"
"264",3,29,"each ","big","move","dist_list","English"
"265",4,29,"each ","tall","move","dist_list","English"
"266",5,29,"together ","heavy","move","dist_list","English"
"267",6,29,"together ","big","move","coll_list","English"
"268",7,29,"each ","heavy","move","dist_list","English"
"269",8,29,"","big","move","dist_list","English"
"270",9,29,"","tall","move","dist_list","English"
"271",1,30,"","heavy","inspect","dist_list","English"
"272",2,30,"together ","big","inspect","coll_list","English"
"273",3,30,"","tall","inspect","coll_list","English"
"274",4,30,"together ","tall","inspect","coll_list","English"
"275",5,30,"together ","heavy","inspect","coll_list","English"
"276",6,30,"each ","big","inspect","dist_list","English"
"277",7,30,"each ","heavy","inspect","dist_list","English"
"278",8,30,"","big","inspect","dist_list","English"
"279",9,30,"each ","tall","inspect","dist_list","English"
"280",1,31,"","big","move","dist_list","english"
"281",2,31,"","tall","move","dist_list","english"
"282",3,31,"","heavy","move","coll_list","english"
"283",4,31,"together ","big","move","coll_list","english"
"284",5,31,"each ","tall","move","dist_list","english"
"285",6,31,"each ","heavy","move","dist_list","english"
"286",7,31,"each ","big","move","dist_list","english"
"287",8,31,"together ","tall","move","coll_list","english"
"288",9,31,"together ","heavy","move","coll_list","english"
"289",1,32,"each ","heavy","inspect","dist_list","English"
"290",2,32,"","big","inspect","dist_list","English"
"291",3,32,"together ","heavy","inspect","coll_list","English"
"292",4,32,"","heavy","inspect","dist_list","English"
"293",5,32,"together ","big","inspect","coll_list","English"
"294",6,32,"each ","big","inspect","dist_list","English"
"295",7,32,"","tall","inspect","dist_list","English"
"296",8,32,"together ","tall","inspect","coll_list","English"
"297",9,32,"each ","tall","inspect","dist_list","English"
"298",1,33,"each ","big","move","dist_list","English"
"299",2,33,"each ","heavy","move","dist_list","English"
"300",3,33,"","tall","move","coll_list","English"
"301",4,33,"together ","heavy","move","coll_list","English"
"302",5,33,"","big","move","dist_list","English"
