,data,context,predicate,coll,bootsci_high,bootsci_low
2,human,random,tall,0.5016667,0.5897619,0.4114226
4,human,regular,tall,0.8181579,0.8928947,0.7321053
1,human,random,big,0.4897619,0.5809524,0.3992857
3,human,regular,big,0.6739474,0.7705329,0.5747303
,model,random,tall,0.5025677,,
,model,regular,tall,0.8247715,,
,model,random,big,0.4913269,,
,model,regular,big,0.6569302,,
