workerid,predicate,sentence_type,slide_number,context,utterance,response
0,long,coll,8,random,heavy,0.55
0,long,dist,8,random,heavy,1
0,long,coll,9,random,long,NA
0,long,dist,9,random,long,1
0,long,dist,10,random,big,1
0,long,coll,10,random,big,0
1,long,dist,8,random,heavy,0.01
1,long,coll,8,random,heavy,1
1,long,dist,9,random,big,0.01
1,long,coll,9,random,big,1
1,long,coll,10,random,long,0.01
1,long,dist,10,random,long,1
2,long,dist,8,random,heavy,0.01
2,long,coll,8,random,heavy,0.98
2,long,dist,9,random,long,1
2,long,coll,9,random,long,0
2,long,coll,10,random,big,0.29
2,long,dist,10,random,big,0.62
3,long,coll,8,random,long,0.64
3,long,dist,8,random,long,0.68
3,long,dist,9,random,heavy,0.49
3,long,coll,9,random,heavy,0.32
3,long,coll,10,random,big,0.66
3,long,dist,10,random,big,0.69
4,long,coll,8,random,big,0.7
4,long,dist,8,random,big,0.19
4,long,dist,9,random,heavy,0.25
4,long,coll,9,random,heavy,0.74
4,long,dist,10,random,long,0.75
4,long,coll,10,random,long,0.23
5,long,dist,8,random,long,0.26
5,long,coll,8,random,long,0.16
5,long,coll,9,random,heavy,0.38
5,long,dist,9,random,heavy,0.24
5,long,dist,10,random,big,0.52
5,long,coll,10,random,big,0.42
6,long,coll,8,regular,long,0.17
6,long,dist,8,regular,long,0.86
6,long,coll,9,regular,heavy,0.32
6,long,dist,9,regular,heavy,0.88
6,long,coll,10,regular,big,0.21
6,long,dist,10,regular,big,0.91
7,long,dist,8,regular,heavy,0.49
7,long,coll,8,regular,heavy,0.89
7,long,dist,9,regular,long,0.69
7,long,coll,9,regular,long,0
7,long,coll,10,regular,big,0.01
7,long,dist,10,regular,big,0.99
8,long,dist,8,regular,big,0.32
8,long,coll,8,regular,big,0.6
8,long,coll,9,regular,long,0.21
8,long,dist,9,regular,long,0.31
8,long,dist,10,regular,heavy,0.48
8,long,coll,10,regular,heavy,0.7
