workerid,language,enjoyment,gender,age,comments,asses,education
0,,-1,,,,NA,-1
1,english,1,Male,27,"everything was fine, the experiment was fun and compensation was proper, thank you",Yes,3
2,American English,1,Male,33,,Yes,1
3,English,1,Male,48,,Yes,2
4,English,2,Male,69,,Yes,4
5,eng,1,Male,27,,Yes,2
6,English,1,Female,31,,Yes,3
7,English,1,Female,31,,Yes,2
8,ENGLISH,1,Female,31,,Confused,2
