workerid,predicate,utterance,response,context,sentence_type
0,tall,lengthy,0.75,random,dist
0,tall,lengthy,0.26,random,coll
0,tall,deep,0.89,random,dist
0,tall,deep,0.08,random,coll
0,tall,skinny,0.08,random,coll
0,tall,skinny,0.9,random,dist
0,tall,long,1,random,dist
0,tall,long,0.02,random,coll
0,tall,small,0.94,random,dist
0,tall,small,0.04,random,coll
0,tall,little,0.94,random,dist
0,tall,little,0,random,coll
0,tall,fat,0.6,random,dist
0,tall,fat,0.42,random,coll
0,tall,tall,0.29,random,coll
0,tall,tall,0.93,random,dist
0,tall,large,0.07,random,coll
0,tall,large,0.92,random,dist
0,tall,thick,0.48,random,coll
0,tall,thick,0.72,random,dist
0,tall,tiny,0.66,random,dist
0,tall,tiny,0.52,random,coll
0,tall,full,0.93,random,dist
0,tall,full,0.04,random,coll
0,tall,high,0.95,random,dist
0,tall,high,0.02,random,coll
0,tall,heavy,0.54,random,dist
0,tall,heavy,0.74,random,coll
0,tall,flat,0,random,coll
0,tall,flat,0.98,random,dist
0,tall,huge,0.52,random,coll
0,tall,huge,0.62,random,dist
0,tall,thin,1,random,dist
0,tall,thin,0,random,coll
0,tall,narrow,1,random,dist
0,tall,narrow,0,random,coll
0,tall,low,0.52,random,dist
0,tall,low,0.45,random,coll
0,tall,big,0.78,random,dist
0,tall,big,0.5,random,coll
0,tall,slight,0.03,random,dist
0,tall,slight,0.89,random,coll
0,tall,humongous,0.75,random,dist
0,tall,humongous,0.39,random,coll
0,tall,mini,0,random,coll
0,tall,mini,1,random,dist
0,tall,short,0,random,coll
0,tall,short,1,random,dist
0,tall,wide,0.61,random,coll
0,tall,wide,0.48,random,dist
1,tall,low,0.25,random,dist
1,tall,low,0.73,random,coll
1,tall,tiny,0.27,random,coll
1,tall,tiny,0.74,random,dist
1,tall,tall,0.64,random,coll
1,tall,tall,0.24,random,dist
1,tall,skinny,0.3,random,dist
1,tall,skinny,0.61,random,coll
1,tall,humongous,0.67,random,dist
1,tall,humongous,0.11,random,coll
1,tall,narrow,0.16,random,coll
1,tall,narrow,0.64,random,dist
1,tall,small,0.68,random,coll
1,tall,small,0.3,random,dist
1,tall,full,0.12,random,coll
1,tall,full,0.75,random,dist
1,tall,thick,0.69,random,dist
1,tall,thick,0.14,random,coll
1,tall,mini,0.31,random,coll
1,tall,mini,0.74,random,dist
1,tall,lengthy,0.15,random,dist
1,tall,lengthy,0.81,random,coll
1,tall,large,0.18,random,coll
1,tall,large,0.78,random,dist
1,tall,big,0.77,random,dist
1,tall,big,0.23,random,coll
1,tall,high,0.15,random,dist
1,tall,high,0.71,random,coll
1,tall,deep,0.24,random,coll
1,tall,deep,0.87,random,dist
1,tall,long,0.21,random,coll
1,tall,long,0.84,random,dist
1,tall,slight,0.06,random,coll
1,tall,slight,0.81,random,dist
1,tall,heavy,0.91,random,coll
1,tall,heavy,0.51,random,dist
1,tall,huge,0.77,random,dist
1,tall,huge,0.32,random,coll
1,tall,fat,0.83,random,dist
1,tall,fat,0.33,random,coll
1,tall,little,0.22,random,dist
1,tall,little,0.83,random,coll
1,tall,short,0.23,random,coll
1,tall,short,0.8,random,dist
1,tall,flat,0.78,random,dist
1,tall,flat,0.29,random,coll
1,tall,wide,0.23,random,dist
1,tall,wide,0.74,random,coll
1,tall,thin,0.23,random,coll
1,tall,thin,0.75,random,dist
2,tall,deep,0.98,regular,coll
2,tall,deep,0.02,regular,dist
2,tall,wide,0.13,regular,dist
2,tall,wide,0.13,regular,coll
2,tall,flat,0.8,regular,dist
2,tall,flat,0.02,regular,coll
2,tall,mini,0.77,regular,dist
2,tall,mini,0.03,regular,coll
2,tall,tall,0.11,regular,dist
2,tall,tall,0.98,regular,coll
2,tall,narrow,0.98,regular,coll
2,tall,narrow,0.98,regular,dist
2,tall,slight,0.02,regular,coll
2,tall,slight,0.98,regular,dist
2,tall,high,0.07,regular,dist
2,tall,high,0.98,regular,coll
2,tall,heavy,0.19,regular,dist
2,tall,heavy,0.98,regular,coll
2,tall,huge,0.03,regular,dist
2,tall,huge,0.97,regular,coll
2,tall,lengthy,0.02,regular,coll
2,tall,lengthy,0.02,regular,dist
2,tall,big,0.98,regular,coll
2,tall,big,0.02,regular,dist
2,tall,thick,0.49,regular,dist
2,tall,thick,0.49,regular,coll
2,tall,full,0.46,regular,coll
2,tall,full,0.46,regular,dist
2,tall,small,0.02,regular,coll
2,tall,small,0.98,regular,dist
2,tall,long,0.01,regular,dist
2,tall,long,0.01,regular,coll
2,tall,tiny,0.02,regular,coll
2,tall,tiny,0.95,regular,dist
2,tall,short,0.98,regular,dist
2,tall,short,0,regular,coll
2,tall,thin,0.96,regular,coll
2,tall,thin,0.96,regular,dist
2,tall,humongous,0.99,regular,coll
2,tall,humongous,0.03,regular,dist
2,tall,large,0.02,regular,dist
2,tall,large,0.97,regular,coll
2,tall,low,0.02,regular,coll
2,tall,low,0.97,regular,dist
2,tall,fat,0.16,regular,coll
2,tall,fat,0.16,regular,dist
2,tall,skinny,0.97,regular,dist
2,tall,skinny,0.98,regular,coll
2,tall,little,0.99,regular,dist
2,tall,little,0.03,regular,coll
3,tall,small,0.07,random,coll
3,tall,small,0.95,random,dist
3,tall,thin,0.07,random,coll
3,tall,thin,0.96,random,dist
3,tall,low,0.07,random,dist
3,tall,low,0.95,random,coll
3,tall,large,0.07,random,coll
3,tall,large,0.95,random,dist
3,tall,lengthy,0.5,random,coll
3,tall,lengthy,0.65,random,dist
3,tall,full,0.91,random,dist
3,tall,full,0.13,random,coll
3,tall,long,0.53,random,coll
3,tall,long,0.8,random,dist
3,tall,high,0.88,random,dist
3,tall,high,0.61,random,coll
3,tall,narrow,0.56,random,coll
3,tall,narrow,0.83,random,dist
3,tall,humongous,0.69,random,coll
3,tall,humongous,0.95,random,dist
3,tall,thick,0.3,random,coll
3,tall,thick,0.87,random,dist
3,tall,flat,0.59,random,coll
3,tall,flat,0.93,random,dist
3,tall,slight,0.19,random,coll
3,tall,slight,0.92,random,dist
3,tall,huge,0.43,random,coll
3,tall,huge,0.91,random,dist
3,tall,wide,0.93,random,dist
3,tall,wide,0.68,random,coll
3,tall,fat,0.67,random,coll
3,tall,fat,0.95,random,dist
3,tall,skinny,0.93,random,dist
3,tall,skinny,0.64,random,coll
3,tall,mini,0.06,random,coll
3,tall,mini,0.93,random,dist
