workerid,language,enjoyment,gender,age,comments,asses,education
0,English,2,Female,31,,Yes,4
1,English,1,Male,30,,Yes,1
2,English,2,Female,41,It was interesting to see how many different ways you explained the boxes.,Yes,2
3,English,2,Male,48,thanks and good luck with your research!,Yes,3
4,English,1,Male,23,,Yes,3
5,english,1,Male,25,,Yes,2
6,English,2,Male,45,"I was confused on how to answer the questions, I thought the one alien was describing how to get the boxes",Confused,2
7,Cantonese,2,Female,24,,No,2
8,English,2,Female,29,,Yes,1
