workerid,predicate,sentence_type,slide_number,context,utterance,response
0,long,dist,8,random,big,0.02
0,long,coll,8,random,big,0.82
0,long,dist,9,random,heavy,0.19
0,long,coll,9,random,heavy,0.93
0,long,dist,10,random,long,0.25
0,long,coll,10,random,long,0.89
1,long,coll,8,regular,big,0.26
1,long,dist,8,regular,big,0.76
1,long,dist,9,regular,long,0.7
1,long,coll,9,regular,long,0.23
1,long,coll,10,regular,heavy,0.73
1,long,dist,10,regular,heavy,0.14
2,long,coll,8,random,heavy,0.81
2,long,dist,8,random,heavy,0
2,long,dist,9,random,long,0.52
2,long,coll,9,random,long,0.03
2,long,coll,10,random,big,0.93
2,long,dist,10,random,big,0.11
3,long,coll,8,regular,big,0.82
3,long,dist,8,regular,big,0.31
3,long,coll,9,regular,long,0.56
3,long,dist,9,regular,long,0.54
3,long,coll,10,regular,heavy,0.96
3,long,dist,10,regular,heavy,0.26
4,long,dist,8,random,big,0.17
4,long,coll,8,random,big,0.55
4,long,coll,9,random,long,0.26
4,long,dist,9,random,long,0.06
4,long,dist,10,random,heavy,0.48
4,long,coll,10,random,heavy,0.7
5,long,dist,8,regular,long,0.87
5,long,coll,8,regular,long,0.28
5,long,coll,9,regular,big,0.34
5,long,dist,9,regular,big,0.72
5,long,dist,10,regular,heavy,0.68
5,long,coll,10,regular,heavy,0.7
6,long,coll,8,regular,big,0.4
6,long,dist,8,regular,big,0.54
6,long,dist,9,regular,long,0.65
6,long,coll,9,regular,long,0.09
6,long,coll,10,regular,heavy,0.77
6,long,dist,10,regular,heavy,0.48
7,long,dist,8,regular,long,0.21
7,long,coll,8,regular,long,0.91
7,long,coll,9,regular,big,0.92
7,long,dist,9,regular,big,0.28
7,long,coll,10,regular,heavy,0.83
7,long,dist,10,regular,heavy,0.5
8,long,dist,8,regular,heavy,0.28
8,long,coll,8,regular,heavy,0.97
8,long,dist,9,regular,long,0.03
8,long,coll,9,regular,long,0.8
8,long,coll,10,regular,big,0.81
8,long,dist,10,regular,big,0.3
