adjective,dimension,valence
full,capacity,pos
deep,depth,pos
flat,height,neg
low,height,neg
short,height,neg
high,height,pos
tall,height,pos
lengthy,length,pos
long,length,pos
little,size,neg
mini,size,neg
slight,size,neg
small,size,neg
tiny,size,neg
big,size,pos
huge,size,pos
humongous,size,pos
large,size,pos
heavy,weight,pos
narrow,width,neg
skinny,width,neg
thin,width,neg
fat,width,pos
thick,width,pos
wide,width,pos
