data,scenario,context,coll,bootsci_high,bootsci_low
human,inspect,random,0.423913,0.5426087,0.3073913
human,inspect,regular,0.5857143,0.7557321,0.4078571
human,move,random,0.6547368,0.7763158,0.5252632
human,move,regular,0.7258333,0.8479167,0.5895729
model,inspect,random,0.4218825,0.4218825,0.4218825
model,inspect,regular,0.5989316,0.5989316,0.5989316
model,move,random,0.6417958,0.6417958,0.6417958
model,move,regular,0.7253155,0.7253155,0.7253155
