workerid,predicate,utterance,response,context,sentence_type
0,tall,skinny,0.87,regular,coll
0,tall,skinny,0.82,regular,dist
0,tall,full,0.13,regular,coll
0,tall,full,0.92,regular,dist
0,tall,large,0.75,regular,coll
0,tall,large,0.08,regular,dist
0,tall,short,0.1,regular,coll
0,tall,short,0.77,regular,dist
0,tall,little,0.84,regular,dist
0,tall,little,0.13,regular,coll
0,tall,wide,0.81,regular,dist
0,tall,wide,0.11,regular,coll
0,tall,deep,0.57,regular,coll
0,tall,deep,0.58,regular,dist
0,tall,small,0.81,regular,dist
0,tall,small,0.13,regular,coll
0,tall,thick,0.59,regular,coll
0,tall,thick,0.75,regular,dist
0,tall,humongous,0,regular,dist
0,tall,humongous,0.99,regular,coll
0,tall,heavy,0.85,regular,coll
0,tall,heavy,0.13,regular,dist
0,tall,mini,0,regular,coll
0,tall,mini,0.94,regular,dist
0,tall,narrow,0.79,regular,coll
0,tall,narrow,0.2,regular,dist
0,tall,flat,0.98,regular,dist
0,tall,flat,0,regular,coll
0,tall,low,0.91,regular,dist
0,tall,low,0.08,regular,coll
0,tall,long,0.16,regular,dist
0,tall,long,0.82,regular,coll
0,tall,fat,0.6,regular,coll
0,tall,fat,0.15,regular,dist
0,tall,lengthy,0.13,regular,dist
0,tall,lengthy,0.83,regular,coll
0,tall,tiny,0.79,regular,dist
0,tall,tiny,0.25,regular,coll
0,tall,slight,0.49,regular,coll
0,tall,slight,0.51,regular,dist
0,tall,high,0.88,regular,coll
0,tall,high,0,regular,dist
0,tall,big,0.25,regular,dist
0,tall,big,0.94,regular,coll
0,tall,huge,0.87,regular,coll
0,tall,huge,0.1,regular,dist
0,tall,tall,1,regular,coll
0,tall,tall,0.05,regular,dist
0,tall,thin,0.8,regular,dist
0,tall,thin,0.15,regular,coll
1,tall,slight,0.17,regular,coll
1,tall,slight,0.86,regular,dist
1,tall,thick,0.09,regular,coll
1,tall,thick,0.93,regular,dist
1,tall,mini,0.09,regular,coll
1,tall,mini,0.94,regular,dist
1,tall,small,0.02,regular,coll
1,tall,small,1,regular,dist
1,tall,deep,0.03,regular,dist
1,tall,deep,0.98,regular,coll
1,tall,large,0.02,regular,coll
1,tall,large,0.98,regular,dist
1,tall,fat,0.93,regular,coll
1,tall,fat,0.1,regular,dist
1,tall,lengthy,0.07,regular,coll
1,tall,lengthy,0.92,regular,dist
1,tall,heavy,0.86,regular,coll
1,tall,heavy,0.2,regular,dist
1,tall,tall,0.92,regular,coll
1,tall,tall,0.12,regular,dist
1,tall,full,0.04,regular,coll
1,tall,full,0.95,regular,dist
1,tall,narrow,0.05,regular,dist
