utterance,sceanrio,context,response,sentence_type,N,bootsci_high,bootsci_low,data
big,move,random,0.5198279,coll,NA,NA,NA,model
tall,move,random,0.5198279,coll,NA,NA,NA,model
big,move,regular,0.6688719,coll,NA,NA,NA,model
tall,move,regular,0.7694065,coll,NA,NA,NA,model
big,inspect,random,0.5198279,coll,NA,NA,NA,model
tall,inspect,random,0.5198279,coll,NA,NA,NA,model
big,inspect,regular,0.6688719,coll,NA,NA,NA,model
tall,inspect,regular,0.7694065,coll,NA,NA,NA,model
heavy,inspect,random,0.4849897,coll,NA,NA,NA,model
heavy,move,random,0.721639,coll,NA,NA,NA,model
heavy,inspect,regular,0.4849897,coll,NA,NA,NA,model
heavy,move,regular,0.721639,coll,NA,NA,NA,model
