workerid,predicate,utterance,response,context,sentence_type
0,tall,narrow,0.79,regular,dist
0,tall,narrow,0.81,regular,coll
0,tall,large,0.24,regular,coll
0,tall,large,0.59,regular,dist
0,tall,big,0.4,regular,dist
0,tall,big,0.76,regular,coll
0,tall,fat,0.22,regular,dist
0,tall,fat,0.85,regular,coll
0,tall,long,0.7,regular,dist
0,tall,long,0.55,regular,coll
0,tall,deep,0.31,regular,dist
0,tall,deep,0.6,regular,coll
0,tall,short,0.31,regular,coll
0,tall,short,0.71,regular,dist
0,tall,thick,0.52,regular,dist
0,tall,thick,0.8,regular,coll
0,tall,thin,0.78,regular,coll
0,tall,thin,0.19,regular,dist
0,tall,low,0.27,regular,dist
0,tall,low,0.29,regular,coll
0,tall,high,0.66,regular,coll
0,tall,high,0.53,regular,dist
0,tall,tall,0.53,regular,dist
0,tall,tall,0.76,regular,coll
0,tall,small,0.28,regular,coll
0,tall,small,0.81,regular,dist
0,tall,skinny,0.67,regular,dist
0,tall,skinny,0.3,regular,coll
0,tall,full,0.58,regular,dist
0,tall,full,0.76,regular,coll
0,tall,huge,0.25,regular,coll
0,tall,huge,0.94,regular,dist
0,tall,little,0.79,regular,dist
0,tall,little,0.08,regular,coll
0,tall,humongous,0.18,regular,dist
0,tall,humongous,0.92,regular,coll
0,tall,tiny,0.91,regular,coll
0,tall,tiny,0.19,regular,dist
0,tall,mini,0.82,regular,dist
0,tall,mini,0.21,regular,coll
0,tall,lengthy,0.59,regular,dist
0,tall,lengthy,0.59,regular,coll
0,tall,wide,0.25,regular,dist
0,tall,wide,0.88,regular,coll
0,tall,heavy,0.19,regular,coll
0,tall,heavy,0.89,regular,dist
0,tall,slight,0.84,regular,coll
0,tall,slight,0.15,regular,dist
0,tall,flat,0.34,regular,dist
0,tall,flat,0.8,regular,coll
1,tall,thick,0.21,random,dist
1,tall,thick,0.78,random,coll
1,tall,big,0.61,random,coll
1,tall,big,0.45,random,dist
1,tall,mini,0.83,random,dist
1,tall,mini,0.13,random,coll
1,tall,narrow,0.22,random,coll
1,tall,narrow,0.78,random,dist
1,tall,fat,0.79,random,coll
1,tall,fat,0.23,random,dist
1,tall,slight,0.21,random,coll
1,tall,slight,0.81,random,dist
1,tall,low,0.81,random,dist
1,tall,low,0.13,random,coll
1,tall,skinny,0.19,random,coll
1,tall,skinny,0.84,random,dist
1,tall,small,0.1,random,coll
1,tall,small,0.86,random,dist
1,tall,large,0.79,random,coll
1,tall,large,0.18,random,dist
1,tall,deep,0.12,random,dist
1,tall,deep,0.81,random,coll
1,tall,tall,0.84,random,coll
1,tall,tall,0.08,random,dist
1,tall,huge,0.89,random,coll
1,tall,huge,0.12,random,dist
1,tall,flat,0.9,random,dist
1,tall,flat,0.09,random,coll
1,tall,long,0.85,random,dist
1,tall,long,0.11,random,coll
1,tall,humongous,0.12,random,dist
1,tall,humongous,0.85,random,coll
1,tall,little,0.87,random,dist
