workerid,language,enjoyment,gender,age,comments,asses,education
0,English,2,Female,24,,Yes,3
1,English,2,Male,41,,Yes,2
2,English,2,Male,30,,Yes,3
3,English,2,Female,31,,Yes,4
4,english,2,Female,57,Easy hit.,Yes,3
