workerid,language,enjoyment,gender,age,comments,asses,education
0,english,1,Male,22,Some of the images were not loading correctly.,Yes,3
1,,-1,,,,NA,-1
2,english,1,Male,23,,Confused,3
3,English,2,Female,40,,Yes,3
4,English,2,Female,37,Thanks,Yes,4
5,English,2,Male,23,,Yes,1
6,Spanish,2,Male,29,"Very interesting experiment, Thanks.",Yes,1
7,English,2,Male,18,,Yes,2
8,English,1,Male,23,,Yes,4
